Date,Open,High,Low,Close,Adj Close,Volume
2012-08-21,1278.599976,1305.000000,1277.099976,1298.650024,1298.650024,1025788
2012-08-22,1295.900024,1309.000000,1288.099976,1291.650024,1291.650024,567048
2012-08-23,1291.750000,1326.000000,1291.750000,1323.449951,1323.449951,1168657
2012-08-24,1320.000000,1328.400024,1313.000000,1322.849976,1322.849976,789469
2012-08-27,1316.199951,1330.900024,1315.000000,1320.449951,1320.449951,483600
2012-08-28,1326.949951,1354.650024,1315.000000,1350.900024,1350.900024,1133102
2012-08-29,1350.000000,1358.000000,1335.000000,1343.300049,1343.300049,1069645
2012-08-30,1339.900024,1388.800049,1323.400024,1367.150024,1367.150024,1666716
2012-08-31,1357.000000,1359.000000,1334.650024,1343.750000,1343.750000,886924
2012-09-03,1350.000000,1354.900024,1333.000000,1337.849976,1337.849976,611913
2012-09-04,1332.900024,1347.000000,1322.050049,1340.849976,1340.849976,754009
2012-09-05,1339.500000,1371.000000,1332.000000,1364.500000,1364.500000,1014480
2012-09-06,1364.099976,1379.900024,1353.650024,1375.599976,1375.599976,1145842
2012-09-07,1390.000000,1396.800049,1378.900024,1386.699951,1386.699951,1318328
2012-09-10,1383.199951,1383.900024,1365.949951,1371.449951,1371.449951,738012
2012-09-11,1369.000000,1395.599976,1364.050049,1392.650024,1392.650024,637090
2012-09-12,1396.949951,1421.000000,1389.900024,1414.900024,1414.900024,1057233
2012-09-13,1413.000000,1423.949951,1409.550049,1417.699951,1417.699951,940605
2012-09-14,1428.000000,1439.800049,1402.150024,1413.099976,1413.099976,1407420
2012-09-17,1418.250000,1421.550049,1335.500000,1342.099976,1342.099976,2547195
2012-09-18,1345.000000,1345.000000,1292.550049,1299.800049,1299.800049,3610103
2012-09-20,1299.800049,1336.900024,1291.599976,1322.000000,1322.000000,2021253
2012-09-21,1324.900024,1332.300049,1298.300049,1304.050049,1304.050049,2123879
2012-09-24,1310.000000,1313.000000,1277.000000,1289.449951,1289.449951,2468510
2012-09-25,1290.099976,1309.750000,1282.300049,1293.199951,1293.199951,1911847
2012-09-26,1295.199951,1305.000000,1282.000000,1285.599976,1285.599976,1646406
2012-09-27,1280.099976,1299.500000,1261.099976,1271.550049,1271.550049,2802699
2012-09-28,1278.800049,1305.000000,1276.500000,1295.900024,1295.900024,1456498
2012-10-01,1295.000000,1309.800049,1293.050049,1302.949951,1302.949951,897809
