Date,Open,High,Low,Close,Adj Close,Volume
11-05-2012,586,590,573.013,2311.300049,577.825012,4450656
14-05-2012,580.049988,586.375,576.025024,2338.947998,584.737,3959208
15-05-2012,576.25,607.25,576.25,2415.199951,603.799988,5133576
16-05-2012,594.5,596.25,588.5,2368.447998,592.112,4294644
17-05-2012,592.112,594.362,586.599976,2370.552002,592.638,2903708
18-05-2012,581.338013,601.25,575.536987,2382.852051,595.713013,2969080
21-05-2012,596.224976,596.375,581,2340.447998,585.112,2388380
22-05-2012,588.75,592.013,580.911987,2341.100098,585.275024,2911604
23-05-2012,588.75,591.200012,576.799988,2348.199951,587.049988,2701016
24-05-2012,587.25,597.224976,578.25,2380.800049,595.200012,3806024
25-05-2012,590.75,596.25,587.763,2372.852051,593.213013,2156864
28-05-2012,598.5,599.5,590.650024,2385.800049,596.450012,2362892
29-05-2012,597.75,606.25,594.5,2409.5,602.375,2572380
30-05-2012,601.75,614.700012,598.174988,2432.300049,608.075012,4025744
31-05-2012,602,638,597.775024,2429.352051,607.338013,10813176
01-06-2012,603.75,607.875,595.75,2389.199951,597.299988,3271520
04-06-2012,593.5,599.088013,586.25,2385.600098,596.400024,2406044
05-06-2012,596.25,602.974976,593.674988,2388.852051,597.213013,2996360
06-06-2012,599.299988,608.338013,599.099976,2415.5,603.875,4388592
07-06-2012,612,616.213013,609.036987,2452.947998,613.237,3323544
08-06-2012,622.224976,622.224976,598.200012,2419.248047,604.812012,2782412
11-06-2012,606.75,613.187988,603.724976,2425.647949,606.411987,1776892
12-06-2012,600.549988,617.5,600.549988,2458.052002,614.513,2067340
13-06-2012,612.812012,622.424988,610.5,2470.100098,617.525024,3078892
14-06-2012,615.25,627.5,615.25,2498.300049,624.575012,3941668
15-06-2012,627.513,633,625.687988,2522.552002,630.638,3155756
18-06-2012,633.75,636.088013,624.125,2511.699951,627.924988,3558516
19-06-2012,625,626.25,614.474976,2477,619.25,3207040
20-06-2012,620,621.25,613.237,2470.100098,617.525024,3267988
21-06-2012,614,625.75,610.036987,2491.300049,622.825012,3268308
22-06-2012,612.437988,621.125,606.612,2474.447998,618.612,3207164
25-06-2012,618.724976,622,614.562012,2468.147949,617.036987,3974724
26-06-2012,613.275024,614.974976,607.388,2440.399902,610.099976,5165080
27-06-2012,613,618.75,612.112,2468.100098,617.025024,4338692
28-06-2012,616.25,624.25,612.088013,2473.300049,618.325012,3806488
29-06-2012,623.5,629.75,619.049988,2509.199951,627.299988,4682484
02-07-2012,625.75,629.700012,622.674988,2499.399902,624.849976,2587608
03-07-2012,629.062012,629.062012,619.150024,2490.552002,622.638,3214404
04-07-2012,625,626.213013,617.25,2479.399902,619.849976,3195408
05-07-2012,620.062012,622,615.625,2480.248047,620.062012,2890232
06-07-2012,619,621.25,610,2444.647949,611.161987,2443720
09-07-2012,605.275024,617.224976,600.5,2437.947998,609.487,3657340
10-07-2012,611,615.825012,610.338013,2459.399902,614.849976,3527360
11-07-2012,612.5,625.599976,611.25,2471,617.75,8472940
12-07-2012,562.5,570,554.75,2264.399902,566.099976,27135932
13-07-2012,554.5,564.700012,554.5,2229.800049,557.450012,13378252
16-07-2012,557.5,560.349976,540.812012,2171.300049,542.825012,9220548
17-07-2012,546.224976,549.5,540.575012,2171.248047,542.812012,6751564
18-07-2012,542.812012,547.224976,540.75,2178.899902,544.724976,3936632
19-07-2012,550,562.5,548.312012,2245.199951,561.299988,5456196
20-07-2012,561.224976,561.224976,551.325012,2218.751953,554.687988,2576916
23-07-2012,550,552.474976,545.650024,2189.100098,547.275024,1945400
24-07-2012,547.625,553,541.275024,2168.647949,542.161987,3576756
25-07-2012,543.5,545,537.5,2168.552002,542.138,3518272
26-07-2012,541.75,541.75,525.312012,2123.800049,530.950012,5987668
27-07-2012,540.5,541,527.325012,2148.647949,537.161987,4931244
30-07-2012,540,553.75,539.388,2209.699951,552.424988,3583460
31-07-2012,553.75,559,546.25,2226.947998,556.737,3457220
01-08-2012,553.75,557.599976,550.187988,2218.552002,554.638,1523992
02-08-2012,554.5,556.700012,548.75,2205.751953,551.437988,1210016
03-08-2012,549.062012,554.338013,546.275024,2208.5,552.125,1547796
06-08-2012,555.549988,558.724976,551.849976,2216.800049,554.200012,1625392
07-08-2012,558,567.349976,555.525024,2253.300049,563.325012,2732672
08-08-2012,565.5,573.75,565,2283.600098,570.900024,4019552
09-08-2012,572.562012,577.875,568.75,2282.052002,570.513,3465548
10-08-2012,569.5,580.25,566,2313.052002,578.263,2817844
13-08-2012,575.325012,582.75,575.025024,2320.100098,580.025024,2006964
14-08-2012,578.325012,583.75,572.338013,2329.352051,582.338013,2022408
16-08-2012,582.338013,582.338013,575.263,2315.447998,578.862,1864812
17-08-2012,581,588.75,579.075012,2351.052002,587.763,4246640
21-08-2012,587.763,609.75,587.763,2409,602.25,6103068
22-08-2012,600.724976,610,598.536987,2433.600098,608.400024,2574584
23-08-2012,608.75,620.75,606.062012,2477.199951,619.299988,7361428
24-08-2012,612,614.588013,608.5,2444.800049,611.200012,3362256
27-08-2012,607.549988,611.625,601.400024,2411.899902,602.974976,3945680
28-08-2012,599.25,612.862,599.25,2421.147949,605.286987,2833028
29-08-2012,605.5,605.5,595.612,2388.300049,597.075012,2808208
30-08-2012,595.963013,601.536987,592.513,2392.699951,598.174988,5587696
31-08-2012,596.5,596.5,588.687988,2361.647949,590.411987,2905532
03-09-2012,591.5,599.724976,589.5,2365.100098,591.275024,2160756
04-09-2012,590.088013,593,586.025024,2360.800049,590.200012,1166664
05-09-2012,586.75,589.25,583.049988,2339.447998,584.862,2006612
06-09-2012,587.625,606.974976,587.625,2422,605.5,3811692
07-09-2012,613.75,623.5,612.775024,2487.248047,621.812012,3037848
10-09-2012,624,631.75,619.687988,2512.352051,628.088013,3668660
11-09-2012,625,633.987,618.650024,2529.5,632.375,2720952
12-09-2012,632.75,637.487,630.286987,2539.699951,634.924988,2541664
13-09-2012,634.700012,641.724976,629.5,2555.052002,638.763,2624852
14-09-2012,647,661.174988,646.525024,2632.100098,658.025024,5313924
17-09-2012,662.25,662.25,636.75,2564.5,641.125,4929636
18-09-2012,645,654.75,644.5,2600.800049,650.200012,3592100
20-09-2012,650.200012,661.25,639.150024,2617.199951,654.299988,5812568
21-09-2012,653.838013,662.5,645.900024,2593.300049,648.325012,6146936
24-09-2012,650,652.474976,643.786987,2600.147949,650.036987,4427016
25-09-2012,647.5,652.75,647.013,2598.052002,649.513,4424876
26-09-2012,644.5,650,641.786987,2589.300049,647.325012,4244952
27-09-2012,648.125,648.25,633.687988,2549.352051,637.338013,6911440
28-09-2012,640.25,644.974976,631.549988,2534.947998,633.737,4842612
01-10-2012,637.825012,655.049988,637.25,2609.647949,652.411987,4413144
03-10-2012,652.411987,654.786987,640.125,2578.248047,644.562012,3911812
04-10-2012,643.775024,648.724976,639.263,2575.647949,643.911987,3582140
05-10-2012,646.25,646.25,515.138,2526.852051,631.713013,5816000
08-10-2012,631.200012,635.724976,615,2488.199951,622.049988,4038720
09-10-2012,626.25,637.5,621,2536.248047,634.062012,4542160
10-10-2012,626.775024,632.036987,622.400024,2504.147949,626.036987,2966052
11-10-2012,624,645.013,620.299988,2533.199951,633.299988,7483200
12-10-2012,587.5,611.963013,577.75,2395.352051,598.838013,28350888
15-10-2012,596.424988,603,588.200012,2365.600098,591.400024,7395060
16-10-2012,594.974976,597.25,586.75,2355.699951,588.924988,3641024
17-10-2012,594.013,594.75,589.312012,2370.147949,592.536987,2853660
18-10-2012,591,599.25,586.275024,2377.600098,594.400024,5096288
19-10-2012,591.5,599.25,591.5,2383.352051,595.838013,5468600
22-10-2012,592.062012,599.5,592.062012,2385.552002,596.388,2283432
23-10-2012,590.5,596,587.5,2353.100098,588.275024,2371572
25-10-2012,588.275024,589.275024,582.536987,2344.751953,586.187988,5628388
29-10-2012,583.674988,586.200012,576.825012,2335.5,583.875,4078476
30-10-2012,581.5,591.25,581.5,2358.352051,589.588013,2864128
31-10-2012,587.5,593.625,586.388,2363,590.75,3258660
