Date,Open,High,Low,Close,Adj Close,Volume
2012-05-11,243.050003,245.449997,242.000000,488.549988,244.274994,2160270
2012-05-14,242.500000,244.850006,236.524994,485.049988,242.524994,1230680
2012-05-15,240.000000,245.725006,237.524994,488.950012,244.475006,946482
2012-05-16,241.949997,243.500000,239.000000,485.899994,242.949997,922124
2012-05-17,244.000000,244.899994,238.175003,485.250000,242.625000,1733800
2012-05-18,240.425003,243.774994,237.600006,483.399994,241.699997,1232526
2012-05-21,242.500000,242.975006,238.500000,479.450012,239.725006,1549074
2012-05-22,241.050003,247.000000,239.574997,487.649994,243.824997,670956
2012-05-23,245.500000,246.475006,241.074997,484.750000,242.375000,746492
2012-05-24,244.725006,244.725006,239.750000,485.700012,242.850006,480404
2012-05-25,244.350006,244.500000,241.250000,487.100006,243.550003,891398
2012-05-28,243.149994,246.850006,241.800003,491.549988,245.774994,627222
2012-05-29,247.899994,253.949997,247.024994,505.350006,252.675003,2416416
2012-05-30,252.024994,255.949997,252.024994,509.200012,254.600006,1627290
2012-05-31,252.550003,253.975006,247.574997,504.049988,252.024994,2547246
2012-06-01,252.500000,253.725006,240.250000,487.100006,243.550003,1806318
2012-06-04,242.449997,247.725006,238.649994,493.850006,246.925003,1003770
2012-06-05,246.949997,249.000000,244.949997,495.350006,247.675003,1518884
2012-06-06,248.024994,253.250000,248.024994,502.100006,251.050003,1911288
2012-06-07,252.500000,253.774994,246.600006,499.049988,249.524994,1464270
2012-06-08,250.000000,250.324997,245.574997,495.600006,247.800003,862510
2012-06-11,249.699997,249.699997,238.699997,482.500000,241.250000,4720364
2012-06-12,239.000000,243.100006,236.024994,484.750000,242.375000,2406418
2012-06-13,243.225006,247.100006,242.500000,490.799988,245.399994,1402760
2012-06-14,245.000000,247.324997,238.225006,478.750000,239.375000,969074
2012-06-15,240.000000,244.000000,239.625000,485.950012,242.975006,1256910
2012-06-18,243.425003,244.949997,229.524994,469.899994,234.949997,4783438
2012-06-19,235.050003,238.175003,232.500000,471.950012,235.975006,4517958
2012-06-20,235.550003,244.850006,235.550003,486.750000,243.375000,2736608
2012-06-21,241.500000,244.500000,239.000000,481.850006,240.925003,1922342
2012-06-22,239.050003,241.625000,235.774994,472.649994,236.324997,2421336
2012-06-25,236.574997,237.500000,230.550003,464.850006,232.425003,2685672
2012-06-26,232.024994,232.850006,226.625000,460.899994,230.449997,4099250
2012-06-27,232.350006,235.725006,230.100006,469.750000,234.875000,3912832
2012-06-28,235.175003,235.225006,227.524994,459.049988,229.524994,4077852
2012-06-29,232.500000,238.949997,230.750000,476.450012,238.225006,3081412
2012-07-02,239.000000,242.949997,238.225006,484.450012,242.225006,1519094
2012-07-03,244.500000,244.750000,241.250000,484.549988,242.274994,1533006
2012-07-04,240.750000,243.300003,237.750000,483.450012,241.725006,1179210
2012-07-05,241.500000,246.500000,240.899994,492.450012,246.225006,1427466
2012-07-06,245.699997,246.500000,241.225006,490.450012,245.225006,1399616
2012-07-09,242.649994,245.350006,241.149994,486.899994,243.449997,1222404
2012-07-10,244.899994,249.600006,242.000000,498.350006,249.175003,1679392
2012-07-11,250.000000,250.000000,245.774994,492.799988,246.399994,1933656
2012-07-12,240.000000,242.500000,238.750000,481.200012,240.600006,2375434
2012-07-13,243.449997,244.500000,241.274994,483.600006,241.800003,1536188
2012-07-16,242.500000,244.000000,238.550003,481.350006,240.675003,1247362
2012-07-17,241.449997,242.199997,236.375000,478.750000,239.375000,1025506
2012-07-18,239.125000,241.625000,235.725006,476.250000,238.125000,2429166
2012-07-19,241.000000,242.725006,239.074997,479.500000,239.750000,1072434
2012-07-20,239.250000,241.975006,236.175003,479.799988,239.899994,1360050
2012-07-23,237.050003,239.324997,237.050003,477.799988,238.899994,977134
2012-07-24,239.000000,241.175003,236.000000,480.799988,240.399994,945674
2012-07-25,252.550003,259.200012,252.550003,513.549988,256.774994,14882838
2012-07-26,256.524994,257.950012,252.750000,511.750000,255.875000,6408074
2012-07-27,256.500000,260.000000,256.500000,517.700012,258.850006,4012792
2012-07-30,258.975006,260.375000,257.024994,516.799988,258.399994,1738262
2012-07-31,259.950012,260.149994,257.250000,518.549988,259.274994,2036710
2012-08-01,259.350006,261.450012,259.274994,521.849976,260.924988,1267034
2012-08-02,260.225006,262.549988,259.000000,524.900024,262.450012,1707680
2012-08-03,258.750000,261.750000,258.549988,522.400024,261.200012,916376
2012-08-06,262.500000,262.500000,259.250000,523.200012,261.600006,855236
2012-08-07,262.399994,269.200012,262.000000,530.500000,265.250000,4849000
2012-08-08,265.000000,269.250000,265.000000,537.349976,268.674988,2071800
2012-08-09,268.500000,269.700012,266.524994,536.700012,268.350006,1342352
